record_id,schema_version,data_version,revision,system,manufacturer,family,model,conductor_material,insulation,voltage_class_v,cores,csa_mm2,outside_diameter_mm,od_basis,conductor_temp_c,intended_use,verification_status,source_id,effective_from,effective_to,notes
CAB-PD-H1Z2Z2K-1C-004,1.0.0,2026.08-draft,1,PV,Phelps Dodge,H1Z2Z2-K,H1Z2Z2-K 4 mm2,,,,1,4,,BROKEN_REFERENCE,,PV DC,UNKNOWN,SRC-WIR-003,,,Workbook OD is #REF!; actual sourced OD required
CAB-PD-H1Z2Z2K-1C-006,1.0.0,2026.08-draft,1,PV,Phelps Dodge,H1Z2Z2-K,H1Z2Z2-K 6 mm2,,,,1,6,,BROKEN_REFERENCE,,PV DC,UNKNOWN,SRC-WIR-003,,,Workbook OD is #REF!; actual sourced OD required
CAB-PD-H1Z2Z2K-1C-010,1.0.0,2026.08-draft,1,PV,Phelps Dodge,H1Z2Z2-K,H1Z2Z2-K 10 mm2,,,,1,10,,BROKEN_REFERENCE,,PV DC,UNKNOWN,SRC-WIR-003,,,Workbook OD is #REF!; actual sourced OD required
CAB-PD-H1Z2Z2K-1C-016,1.0.0,2026.08-draft,1,PV,Phelps Dodge,H1Z2Z2-K,H1Z2Z2-K 16 mm2,,,,1,16,,BROKEN_REFERENCE,,PV DC,UNKNOWN,SRC-WIR-003,,,Workbook OD is #REF!; actual sourced OD required
CAB-PD-CVFD-1C-025,1.0.0,2026.08-draft,2,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-1C 25 mm2,CU,XLPE,1000,1,25,12,WORKBOOK_TRANSCRIPTION,90,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003|SRC-MFR-001,,,Cu/XLPE/0.6-1 kV identity is manufacturer-sourced; OD remains workbook transcription
CAB-PD-CVFD-1C-035,1.0.0,2026.08-draft,2,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-1C 35 mm2,CU,XLPE,1000,1,35,13,WORKBOOK_TRANSCRIPTION,90,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003|SRC-MFR-001,,,Cu/XLPE/0.6-1 kV identity is manufacturer-sourced; OD remains workbook transcription
CAB-PD-CVFD-1C-050,1.0.0,2026.08-draft,2,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-1C 50 mm2,CU,XLPE,1000,1,50,15,WORKBOOK_TRANSCRIPTION,90,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003|SRC-MFR-001,,,Cu/XLPE/0.6-1 kV identity is manufacturer-sourced; OD remains workbook transcription
CAB-PD-CVFD-1C-070,1.0.0,2026.08-draft,2,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-1C 70 mm2,CU,XLPE,1000,1,70,16,WORKBOOK_TRANSCRIPTION,90,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003|SRC-MFR-001,,,Cu/XLPE/0.6-1 kV identity is manufacturer-sourced; OD remains workbook transcription
CAB-PD-CVFD-1C-095,1.0.0,2026.08-draft,2,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-1C 95 mm2,CU,XLPE,1000,1,95,18,WORKBOOK_TRANSCRIPTION,90,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003|SRC-MFR-001,,,Cu/XLPE/0.6-1 kV identity is manufacturer-sourced; OD remains workbook transcription
CAB-PD-CVFD-1C-120,1.0.0,2026.08-draft,2,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-1C 120 mm2,CU,XLPE,1000,1,120,20,WORKBOOK_TRANSCRIPTION,90,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003|SRC-MFR-001,,,Cu/XLPE/0.6-1 kV identity is manufacturer-sourced; OD remains workbook transcription
CAB-PD-CVFD-1C-150,1.0.0,2026.08-draft,2,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-1C 150 mm2,CU,XLPE,1000,1,150,22,WORKBOOK_TRANSCRIPTION,90,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003|SRC-MFR-001,,,Cu/XLPE/0.6-1 kV identity is manufacturer-sourced; OD remains workbook transcription
CAB-PD-CVFD-1C-185,1.0.0,2026.08-draft,2,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-1C 185 mm2,CU,XLPE,1000,1,185,24,WORKBOOK_TRANSCRIPTION,90,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003|SRC-MFR-001,,,Cu/XLPE/0.6-1 kV identity is manufacturer-sourced; OD remains workbook transcription
CAB-PD-CVFD-1C-240,1.0.0,2026.08-draft,2,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-1C 240 mm2,CU,XLPE,1000,1,240,27,WORKBOOK_TRANSCRIPTION,90,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003|SRC-MFR-001,,,Cu/XLPE/0.6-1 kV identity is manufacturer-sourced; OD remains workbook transcription
CAB-PD-CVFD-1C-300,1.0.0,2026.08-draft,2,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-1C 300 mm2,CU,XLPE,1000,1,300,30,WORKBOOK_TRANSCRIPTION,90,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003|SRC-MFR-001,,,Cu/XLPE/0.6-1 kV identity is manufacturer-sourced; OD remains workbook transcription
CAB-PD-CVFD-1C-400,1.0.0,2026.08-draft,2,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-1C 400 mm2,CU,XLPE,1000,1,400,33,WORKBOOK_TRANSCRIPTION,90,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003|SRC-MFR-001,,,Cu/XLPE/0.6-1 kV identity is manufacturer-sourced; OD remains workbook transcription
CAB-PD-CVFD-1C-500,1.0.0,2026.08-draft,2,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-1C 500 mm2,CU,XLPE,1000,1,500,37,WORKBOOK_TRANSCRIPTION,90,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003|SRC-MFR-001,,,Cu/XLPE/0.6-1 kV identity is manufacturer-sourced; OD remains workbook transcription
CAB-PD-CVFD-1C-630,1.0.0,2026.08-draft,2,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-1C 630 mm2,CU,XLPE,1000,1,630,41,WORKBOOK_TRANSCRIPTION,90,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003|SRC-MFR-001,,,Cu/XLPE/0.6-1 kV identity is manufacturer-sourced; OD remains workbook transcription
CAB-PD-CVFD-2C-010,1.0.0,2026.08-draft,1,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-2C 10 mm2,,,,2,10,16,WORKBOOK_TRANSCRIPTION,,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003,,,OD transcribed from prototype workbook; current catalogue and construction details required
CAB-PD-CVFD-2C-016,1.0.0,2026.08-draft,1,AC,Phelps Dodge,CV/CV-FD,CV/CV-FD-2C 16 mm2,,,,2,16,18,WORKBOOK_TRANSCRIPTION,,AC phase neutral or multicore,MANUFACTURER_DATA,SRC-WIR-003,,,OD transcribed from prototype workbook; current catalogue and construction details required
