record_id,schema_version,data_version,revision,manufacturer,series,item_number,trade_size_in,outside_diameter_mm,minimum_wall_mm,length_mm,nominal_weight_kg,primary_bundle_qty,master_bundle_qty,screening_internal_diameter_mm,screening_internal_area_mm2,certified_internal_diameter_mm,standard_listing,id_basis,verification_status,source_id,effective_from,effective_to,notes
CON-PAN-IMC-012,1.0.0,2026.08-draft,1,Panasonic,White Conduit IMC,DWM012Y,1/2,20.70,1.79,3030,2.85,10,300,17.12,230.20,,UL 1242; catalogue also shows TIS 770 coverage,SCREENING_CALCULATED,MANUFACTURER_DATA,SRC-WIR-003,,,Confirm current product certificate and actual ID before design issue
CON-PAN-IMC-034,1.0.0,2026.08-draft,1,Panasonic,White Conduit IMC,DWM034Y,3/4,26.14,1.90,3030,3.94,5,250,22.34,391.97,,UL 1242; catalogue also shows TIS 770 coverage,SCREENING_CALCULATED,MANUFACTURER_DATA,SRC-WIR-003,,,Confirm current product certificate and actual ID before design issue
CON-PAN-IMC-100,1.0.0,2026.08-draft,1,Panasonic,White Conduit IMC,DWM100Y,1,32.77,2.16,3025,5.23,5,125,28.45,635.70,,UL 1242; catalogue also shows TIS 770 coverage,SCREENING_CALCULATED,MANUFACTURER_DATA,SRC-WIR-003,,,Confirm current product certificate and actual ID before design issue
CON-PAN-IMC-114,1.0.0,2026.08-draft,1,Panasonic,White Conduit IMC,DWM114Y,1-1/4,41.59,2.16,3025,7.48,3,75,37.27,1090.96,,UL 1242; catalogue also shows TIS 770 coverage,SCREENING_CALCULATED,MANUFACTURER_DATA,SRC-WIR-003,,,Confirm current product certificate and actual ID before design issue
CON-PAN-IMC-112,1.0.0,2026.08-draft,1,Panasonic,White Conduit IMC,DWM112Y,1-1/2,47.81,2.29,3025,8.67,3,75,43.23,1467.78,,UL 1242; catalogue also shows TIS 770 coverage,SCREENING_CALCULATED,MANUFACTURER_DATA,SRC-WIR-003,,,Confirm current product certificate and actual ID before design issue
CON-PAN-IMC-200,1.0.0,2026.08-draft,1,Panasonic,White Conduit IMC,DWM200Y,2,59.93,2.41,3025,11.65,,50,55.11,2385.34,,UL 1242; catalogue also shows TIS 770 coverage,SCREENING_CALCULATED,MANUFACTURER_DATA,SRC-WIR-003,,,Confirm current product certificate and actual ID before design issue
CON-PAN-IMC-212,1.0.0,2026.08-draft,1,Panasonic,White Conduit IMC,DWM212Y,2-1/2,72.56,3.56,3010,18.71,,40,65.44,3363.38,,UL 1242; catalogue also shows TIS 770 coverage,SCREENING_CALCULATED,MANUFACTURER_DATA,SRC-WIR-003,,,Confirm current product certificate and actual ID before design issue
CON-PAN-IMC-300,1.0.0,2026.08-draft,1,Panasonic,White Conduit IMC,DWM300Y,3,88.29,3.56,3010,22.87,,30,81.17,5174.65,,UL 1242; catalogue also shows TIS 770 coverage,SCREENING_CALCULATED,MANUFACTURER_DATA,SRC-WIR-003,,,Confirm current product certificate and actual ID before design issue
CON-PAN-IMC-312,1.0.0,2026.08-draft,1,Panasonic,White Conduit IMC,DWM312Y,3-1/2,100.86,3.56,3005,26.43,,20,93.74,6901.44,,UL 1242; catalogue also shows TIS 770 coverage,SCREENING_CALCULATED,MANUFACTURER_DATA,SRC-WIR-003,,,Confirm current product certificate and actual ID before design issue
CON-PAN-IMC-400,1.0.0,2026.08-draft,1,Panasonic,White Conduit IMC,DWM400Y,4,113.40,3.56,3005,29.84,,15,106.28,8871.42,,UL 1242; catalogue also shows TIS 770 coverage,SCREENING_CALCULATED,MANUFACTURER_DATA,SRC-WIR-003,,,Confirm current product certificate and actual ID before design issue
