source_id,schema_version,data_version,revision,title,issuer,source_type,edition_or_date,locator,relative_path,sha256,byte_size,authority,licensing_status,verification_status,reviewer,review_date,effective_from,effective_to,notes
SRC-INV-001,1.0.0,2026.08-draft,1,Inverter size reference,Unknown,IMAGE,Unknown,whole image,1.เลือกขนาด Inverter/ขนาด Inverter.png,15425f4065382745da3f7071a336e672db20d2d6043675d10d875c580e4532c7,33059,MANUFACTURER_DERIVED,UNKNOWN,MANUFACTURER_DATA,,,,,No manufacturer datasheet number revision or approval
SRC-INV-002,1.0.0,2026.08-draft,1,Example inverter single-line diagram,Unknown,IMAGE,Unknown,whole image,1.เลือกขนาด Inverter/Diagram ตัวอย่างเลือก Inverter.png,6839bbfca39158f3b594e0caedf0207887207b603b5ee3925f600eb79987c635,63678,PROJECT_EXAMPLE,UNKNOWN,DRAFT,,,,,Illustrative draft; small annotations are ambiguous
SRC-AMP-001,1.0.0,2026.08-draft,1,70 degree cable design guidance slide 1,Unknown,IMAGE,Unknown,slide 1,2.เกณฑ์เลือกสายไฟไม่เกิน 70 องศา/แนวทางการออกแบบสายไฟ 1.jpg,e095e80e7b0c25ce71b6f127f75b291633fbe61bef8252644d2b6a3ab04ab00e,257964,REFERENCE_EXCERPT,UNKNOWN,DRAFT,,,,,Source edition and governing precedence not approved
SRC-AMP-002,1.0.0,2026.08-draft,1,70 degree cable design guidance slide 2,Unknown,IMAGE,Unknown,slide 2,2.เกณฑ์เลือกสายไฟไม่เกิน 70 องศา/แนวทางการออกแบบสายไฟ 2.jpg,4c7707bfc671c27ed62ab47ef2d6815dea25e185f06dd3fc8d31833ba770aead,228149,REFERENCE_EXCERPT,UNKNOWN,DRAFT,,,,,Source edition and governing precedence not approved
SRC-AMP-003,1.0.0,2026.08-draft,1,70 degree cable design guidance slide 3,Unknown,IMAGE,Unknown,slide 3,2.เกณฑ์เลือกสายไฟไม่เกิน 70 องศา/แนวทางการออกแบบสายไฟ 3.jpg,81a6cf743bc9e3ed91fd52917513488a8a412b536c2f480369f3970dea44d9e1,211115,REFERENCE_EXCERPT,UNKNOWN,DRAFT,,,,,Contains worked thermal example
SRC-AMP-004,1.0.0,2026.08-draft,1,70 degree cable design guidance slide 4,Unknown,IMAGE,Unknown,slide 4,2.เกณฑ์เลือกสายไฟไม่เกิน 70 องศา/แนวทางการออกแบบสายไฟ 4.jpg,84b2ad1dc1cfdf1562dc61ecb8364c435d540925ed14e131f615041e7889de6f,179791,REFERENCE_EXCERPT,UNKNOWN,DRAFT,,,,,Contains table excerpts with incomplete edition metadata
SRC-AMP-005,1.0.0,2026.08-draft,1,70 degree cable design guidance slide 5,Unknown,IMAGE,Unknown,slide 5,2.เกณฑ์เลือกสายไฟไม่เกิน 70 องศา/แนวทางการออกแบบสายไฟ 5.jpg,dc285af0fd121d454cfc64b49ec31a04d55dc3b73e5b58d570d41150b520f754,191633,REFERENCE_EXCERPT,UNKNOWN,DRAFT,,,,,Contains alternative 125 percent method
SRC-WIR-001,1.0.0,2026.08-draft,1,Ground conductor selection text,Unknown,TEXT,Unknown,empty file,3.การเลือกสายไฟ-ท่อร้อยสายไฟ (AC-Ground)/การเลือกสาย Ground(Sหาร2).txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,UNKNOWN,UNKNOWN,UNKNOWN,,,,,Zero-byte file; supplies no rule
SRC-WIR-002,1.0.0,2026.08-draft,1,Ground conductor S over 2 mapping,Unknown,IMAGE,Unknown,whole image,3.การเลือกสายไฟ-ท่อร้อยสายไฟ (AC-Ground)/ขนาดสาย Geound (Sหาร2).png,d01283b3f4442882a77f8d8d8501323049ce4c1d1f7f9b9deeabdaa473c515eb,36184,REFERENCE_EXCERPT,UNKNOWN,DRAFT,,,,,Normative source and applicability absent
SRC-WIR-003,1.0.0,2026.08-draft,1,Cable and IMC physical-fill prototype,Unknown,WORKBOOK,Workbook Rev.4,Conduit Data and 1.IMC Max Count,3.การเลือกสายไฟ-ท่อร้อยสายไฟ (AC-Ground)/Cable_Containme.xlsx,7f5394a5d19aed0f0b9c55ae016151e85e44664d6297bef60a1c7a03fe83e538,99284,PROTOTYPE,UNKNOWN,DRAFT,,,,,Contains broken references and screening dimensions
SRC-WIR-004,1.0.0,2026.08-draft,1,Raceway grouping factors excerpt,Unknown,IMAGE,Unknown,page 132,3.การเลือกสายไฟ-ท่อร้อยสายไฟ (AC-Ground)/page-132.jpg,da7478aa593dbf9d4deb0c6d771afb8bd42ebb40ba1870aff0585886ec83a7b3,254265,REFERENCE_EXCERPT,UNKNOWN,DRAFT,,,,,Selected page only; edition and full notes absent
SRC-WIR-005,1.0.0,2026.08-draft,1,Buried XLPE ampacity excerpt,Unknown,IMAGE,Unknown,page 145,3.การเลือกสายไฟ-ท่อร้อยสายไฟ (AC-Ground)/page-145.jpg,d9d6b370ef305dc2fa8796cae2a99824c5d89095760ff94b084191b00c698983,306184,REFERENCE_EXCERPT,UNKNOWN,DRAFT,,,,,Selected table page only
SRC-TRF-001,1.0.0,2026.08-draft,1,Transformer installation cost estimator specification,Unknown,MARKDOWN,Phase 2,whole document,4.การเลือกหม้อแปลง/2.Program ออกแบบการติดตั้งหม้อแปลง-Phase-2.md,7e572339d85017b5bbfed4976a47f6228d098689c5dc43e6ce0d71236d710909,23613,PROJECT_REQUIREMENT,UNKNOWN,DRAFT,,,,,Primary source for draft transformer BOQ and prices
SRC-TRF-002,1.0.0,2026.08-draft,1,Transformer platform illustration,Unknown,IMAGE,Unknown,whole image,4.การเลือกหม้อแปลง/หม้อแปลงนั่งร้าน.png,3d918180e5cebbda10b1a5aa15058841f73b57963e1f32b30b21b188a4beca84,1994836,ILLUSTRATION,UNKNOWN,DRAFT,,,,,Presentation only; not engineering evidence
