record_id,schema_version,data_version,revision,item_code,category,description_th,description_en,unit,low_price_thb,base_price_thb,high_price_thb,currency,source_date,included_scope,excluded_scope,duplicate_scope_group,verification_status,source_id,effective_from,effective_to,notes
RATE-YARD-2P5X3,1.0.0,2026.08-draft,1,YARD-2P5X3,Transformer Yard,ลานหม้อแปลง 2.5 × 3 m,Transformer yard 2.5 x 3 m,LOT,,45000,,THB,,,,YARD_SCOPE,DRAFT,SRC-TRF-001,,,Rate description may represent a pad and does not match draft yard bands
RATE-YARD-4X8,1.0.0,2026.08-draft,1,YARD-4X8,Transformer Yard,ลานหม้อแปลง 4 × 8 m,Transformer yard 4 x 8 m,LOT,,90000,,THB,,,,YARD_SCOPE,DRAFT,SRC-TRF-001,,,Dimensions do not exactly match any draft yard band
RATE-LA-24KV-5KA-3P,1.0.0,2026.08-draft,1,LA-24KV-5KA-3P,MV Equipment,ล่อฟ้า 24 kV 5 kA 3 เฟส,Lightning arrester 24 kV 5 kA three phase,SET,,8000,,THB,,,,MV_ARRESTER,DRAFT,SRC-TRF-001,,,Quantity rule and scope details absent
RATE-GROUND-ROD-5-8X3M,1.0.0,2026.08-draft,1,GROUND-ROD-5-8X3M,Grounding,หลักดิน 5/8 นิ้ว × 3 m รวมสาย,Ground rod 5/8 in x 3 m including cable,SET,,1500,,THB,,Ground rod and unspecified cable length,,GROUNDING_CONDUCTOR,DRAFT,SRC-TRF-001,,,May duplicate separately quantified earth conductor
RATE-THERMOWELD,1.0.0,2026.08-draft,1,THERMOWELD,Grounding,เทอร์โมเวลด์,Thermoweld,SET,,1000,,THB,,,,GROUNDING_CONNECTION,DRAFT,SRC-TRF-001,,,Quantity and included materials absent
RATE-POLE-12M-EQUIP,1.0.0,2026.08-draft,1,POLE-12M-EQUIP,Pole and Structure,เสาคอนกรีต 12 m พร้อมอุปกรณ์,12 m concrete pole with equipment,SET,,25000,,THB,,,,POLE_STRUCTURE,DRAFT,SRC-TRF-001,,,Equipment scope absent
RATE-POLE-12M-STUB-GUY,1.0.0,2026.08-draft,1,POLE-12M-STUB-GUY,Pole and Structure,เสาคอนกรีต 12 m พร้อม Stub และ Guy Wire,12 m concrete pole with stub and guy wire,SET,,72000,,THB,,,,POLE_STRUCTURE,DRAFT,SRC-TRF-001,,,Equipment scope absent
RATE-TRF-POLE-EQUIP,1.0.0,2026.08-draft,1,TRF-POLE-EQUIP,Pole and Structure,เสาสำหรับติดตั้งหม้อแปลงพร้อมอุปกรณ์,Transformer pole with equipment,SET,,135000,,THB,,,,TRANSFORMER_SUPPORT,DRAFT,SRC-TRF-001,,,Installation eligibility and equipment scope absent
RATE-TRF-PLATFORM-EQUIP,1.0.0,2026.08-draft,1,TRF-PLATFORM-EQUIP,Pole and Structure,นั่งร้านหรือโครงรับหม้อแปลงพร้อมอุปกรณ์,Transformer platform with equipment,SET,,150000,,THB,,,,TRANSFORMER_SUPPORT,DRAFT,SRC-TRF-001,,,Installation eligibility and equipment scope absent
RATE-EXISTING-POLE-UPGRADE,1.0.0,2026.08-draft,1,EXISTING-POLE-UPGRADE,Pole and Structure,ปรับปรุงเสาคอนกรีตเดิม,Existing concrete-pole improvement,SET,,110000,,THB,,,,POLE_STRUCTURE,DRAFT,SRC-TRF-001,,,Site-dependent scope
RATE-TERM-KIT-24KV,1.0.0,2026.08-draft,1,TERM-KIT-24KV,MV Equipment,ชุดหัวสาย 24 kV,24 kV termination kit,SET,,4500,,THB,,,,MV_TERMINATION,DRAFT,SRC-TRF-001,,,Cable type and quantity rule absent
RATE-HIPOT-TEST,1.0.0,2026.08-draft,1,HIPOT-TEST,Testing and Commissioning,ทดสอบ Hipot,Hipot test,LOT,,,,THB,,,,TESTING,DRAFT,SRC-TRF-001,,,No reference price; manual value required
RATE-HOTLINE,1.0.0,2026.08-draft,1,HOTLINE,Safety and Temporary Work,งาน Hotline,Hotline work,LOT,,,,THB,,,,HOTLINE_WORK,DRAFT,SRC-TRF-001,,,No reference price; manual value required
